On Old Website,Film Title,Year,Original Story,Story Author,Story Year,Region,Director,Studio,Genres,Survival Status,Access Status,Notes,Film URL,Research Status,Personal Copy,Copy Notes
TRUE,Joyce of the North Woods,1913,Joyce of the North Woods,Harriet Comstock,1911,"Coastal Maine",Ashley Miller,Edison Company,Drama,Unknown,Unavailable,,,,,FALSE,
TRUE,Janet of the Dunes,1913,Janet of the Dunes,Harriet Comstock,1908,"Northeast Atlantic Coast",Richard Ridgely,Edison Company,Drama,Unknown,Unavailable,,,,,FALSE,
TRUE,Silent Years,1921,Mam'selle Jo,Harriet Comstock,1918,"St. Lawrence River Valley",Louis Gasnier,R-C Pictures,Melodrama,Lost,Unavailable,Lost per LOC,,,,FALSE,
TRUE,The Place Beyond the Winds,1916,The Place Beyond the Winds,Harriet Comstock,1914,"St. Lawrence River Valley",Joseph De Grasse,Universal,Drama,Extant,Available,4 of 5 reels survive; Found in Dawson City,,,,FALSE,
TRUE,A Son of the Hills,1917,A Son of the Hills,Harriet Comstock,1913,"Appalachia",Harry Davenport,Vitagraph,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
FALSE,Mother's Cry,1930,Mother's Cry,Helen Grace Carlisle,1930,,Hobart Henley,First National,Drama,Unknown,Unavailable,,,,,FALSE,
TRUE,Ramona,1936,Ramona,Helen Hunt Jackson,1884,"Southern California",Henry King,20th Century Fox,"Drama,Musical,Western",Extant,Available,,,,,FALSE,
TRUE,Ramona,1910,Ramona,Helen Hunt Jackson,1884,"Southern California",D.W. Griffith,Biograph,"Drama,Western",Extant,Available,,,,,TRUE,
TRUE,Ramona,1916,Ramona,Helen Hunt Jackson,1884,"Southern California",Donald Crisp,State Rights,"Melodrama,Western",Extant,Restricted,Reel 5 survives,,,,FALSE,
TRUE,Ramona,1928,Ramona,Helen Hunt Jackson,1884,"Southern California",Edwin Carewe,United Artists,"Drama,Western",Extant,Available,,https://www.youtube.com/watch?v=46X68vCbXPo,,,FALSE,
FALSE,Rebecca of Sunnybrook Farm,1932,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,"Maine",Alfred Santell,20th Century Fox,,Extant,Restricted,At UCLA,,,,FALSE,
FALSE,Rebecca of Sunnybrook Farm,1938,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,"Maine",Allan Dwan,20th Century Fox,"Musical,Comedy",Extant,Available,,,,,FALSE,
TRUE,Rebecca of Sunnybrook Farm,1917,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,1903,"Maine",Marshall Neilan,Mary Pickford Company,Drama,Extant,Available,Better copy might exist on DVD,,,,TRUE,
FALSE,Nobody's Kid,1921,Mary Cary,Kate Langley Bosher,1910,,Howard Hickman,Robertson-Cole Pictures Corp,"Comedy,Drama",Extant,Restricted,At LOC; orphanage setting,,,,FALSE,
TRUE,I Remember Mama,1948,Mama's Bank Account,Kathryn Forbes,1943,"Northern California",George Stevens,RKO,Drama,Extant,Available,,,Checked,,FALSE,
FALSE,The Silent Woman,1918,,Lois Zellner,,"Pacific Northwest",Herbert Blache,Metro Pictures,Drama,Lost,Unavailable,,,,,FALSE,
FALSE,Lucy Gallant,1955,"The Life of Lucy Gallant/The Longest Day of the Year",Margaret Cousins,1953,"South Texas",Robert Parrish,Paramount,"Drama,Western",Extant,Restricted,,,,,FALSE,
TRUE,The Iron Woman,1916,The Iron Woman,Margaret Deland,1911,"Great Lakes Region",Carl Harbaugh,Popular Plays and Players,Drama,Lost,Unavailable,Lost per LOC,,,,FALSE,
